Target,Model,MAE,RMSE,R2
Course Revenue,Ridge,2269.9044686631346,3228.4325127420493,0.9865718936510187
Course Revenue,Random Forest,2950.7192888888935,4785.633233784252,0.9704940113654615
Course Revenue,Gradient Boosting,3303.515106410888,4847.496338411746,0.9697262425632793
Course Revenue,Lasso,4973.401427298173,5489.861774199012,0.9611711822906592
Course Revenue,Linear Regression,4974.226724786218,5490.622771301903,0.9611604167497421
Enrollment Count,Random Forest,11.530833333333334,13.8697906804147,-0.05569502540650384
Enrollment Count,Gradient Boosting,12.395113825698019,14.993350630720727,-0.23366162696439186
Enrollment Count,Ridge,12.609045872083607,16.272329107029393,-0.4531086896995633
Enrollment Count,Lasso,14.071878350634462,18.49237145959171,-0.8766525730461572
Enrollment Count,Linear Regression,14.473228711836377,18.936588844224296,-0.9678960814004882
